,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
112,06,065,1016,88101,1,33.944713,-116.830074,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,351,96.0,Y,351,366,0,0,,,Certification not required,7.950142,6.111646,42.0,2020-09-16 00:00,32.1,2020-09-13 00:00,27.0,2020-10-22 00:00,26.7,2020-10-09 00:00,,,,,26.7,24.3,19.4,15.1,11.6,6.9,1.3,Morongo Air Monitoring Station,"12160 Santiago Rd. Banning, CA 92220",California,Riverside,Banning,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
118,06,071,8001,88101,1,34.26464,-116.86147,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,58,95.0,Y,58,61,0,8,,,Certified,7.743103,4.972631,24.3,2020-12-05 00:00,20.4,2020-01-04 00:00,20.3,2020-11-29 00:00,18.4,2020-02-15 00:00,,,,,24.3,20.4,20.3,14.6,9.5,6.2,3.1,Big Bear,"501 W. VALLEY BLVD., BIG BEAR CITY,",California,San Bernardino,Big Bear City,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
126,06,027,1023,88101,1,37.362137,-118.417478,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,163,45.0,N,163,366,0,0,,,Certification not required,40.764417,63.101598,379.0,2020-09-16 00:00,358.9,2020-09-17 00:00,311.0,2020-10-19 00:00,307.5,2020-09-15 00:00,,,,,358.9,307.5,153.5,107.1,34.5,19.4,6.2,Bishop Tribe EMO,50 TU SU LANE,California,Inyo,Bishop,13860,"Bishop, CA",2021-10-31
132,06,025,0007,88101,1,32.97833,-115.53917,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,3,,,Certified,9.449587,4.566146,23.7,2020-09-15 00:00,21.3,2020-10-09 00:00,21.0,2020-12-11 00:00,19.6,2020-10-21 00:00,,,,,21.3,21.0,18.8,15.3,12.0,9.0,4.5,Brawley-220 Main Street,"220 MAIN ST., STE 204, BRAWLEY",California,Imperial,Brawley,20940,"El Centro, CA",2021-10-31
139,06,025,0005,88101,3,32.67618,-115.48307,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,21,6.0,N,21,366,0,0,,,Certified,21.009524,11.432625,46.1,2020-12-22 00:00,41.3,2020-12-17 00:00,37.4,2020-12-14 00:00,31.4,2020-12-11 00:00,,,,,46.1,46.1,41.3,37.4,27.3,19.1,6.3,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,20940,"El Centro, CA",2021-10-31
145,06,025,0005,88101,2,32.67618,-115.48307,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,27,87.0,N,27,31,0,2,,,Certified,11.311111,6.424073,33.9,2020-01-16 00:00,22.5,2020-01-04 00:00,19.3,2020-10-18 00:00,17.5,2020-12-05 00:00,,,,,33.9,33.9,22.5,19.3,12.7,10.6,4.8,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,20940,"El Centro, CA",2021-10-31
151,06,025,0005,88101,1,32.67618,-115.48307,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,328,90.0,N,328,366,0,15,,,Certified,11.351524,6.561946,40.6,2020-01-11 00:00,39.7,2020-01-13 00:00,34.5,2020-01-16 00:00,34.4,2020-11-25 00:00,,,,,34.4,31.3,25.2,20.8,13.9,10.1,4.6,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,20940,"El Centro, CA",2021-10-31
158,06,053,0002,88101,3,36.48187,-121.73333,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,359,98.0,Y,359,366,0,0,,,Certified,7.751532,17.647311,200.3,2020-08-21 00:00,148.9,2020-08-19 00:00,97.0,2020-08-22 00:00,94.4,2020-09-10 00:00,,,,,94.4,63.7,19.2,9.6,6.6,4.1,1.5,Carmel Valley,35 Ford Road,California,Monterey,Carmel Valley Village,41500,"Salinas, CA",2021-10-31
165,06,007,0008,88101,3,39.76168,-121.84047,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,359,98.0,Y,359,366,0,0,,,Certified,16.073259,28.687694,329.3,2020-09-13 00:00,227.6,2020-09-12 00:00,169.8,2020-09-14 00:00,134.3,2020-08-21 00:00,,,,,134.3,92.3,58.9,34.1,15.8,8.0,2.9,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,17020,"Chico, CA",2021-10-31
171,06,073,0001,88101,1,32.631242,-117.059088,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,116,94.0,Y,115,122,0,7,,,Certified,10.677586,6.609704,46.7,2020-09-15 00:00,43.7,2020-09-12 00:00,31.4,2020-10-06 00:00,23.2,2020-02-18 00:00,,,,,43.7,31.4,21.3,16.6,12.3,9.7,4.7,Chula Vista,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,41740,"San Diego-Carlsbad, CA",2021-10-31
178,06,019,5001,88101,3,36.819449,-119.716433,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2020,Micrograms/cubic meter (LC),No Events,348,95.0,Y,348,366,0,0,,,Certified,19.000575,22.949105,193.7,2020-09-14 00:00,157.1,2020-09-13 00:00,143.3,2020-08-22 00:00,135.0,2020-08-21 00:00,,,,,135.0,100.2,54.7,37.3,23.0,11.2,3.8,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,23420,"Fresno, CA",2021-10-31
184,06,019,5001,88101,1,36.819449,-119.716433,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,114,92.0,Y,112,122,0,5,,,Certified,19.469298,20.057802,140.7,2020-08-22 00:00,100.5,2020-09-15 00:00,80.4,2020-10-03 00:00,79.4,2020-09-12 00:00,,,,,100.5,80.4,52.4,37.5,23.7,13.6,5.6,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,23420,"Fresno, CA",2021-10-31
191,06,011,1002,88101,3,39.18919,-121.99887,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,17,5.0,N,17,366,0,0,,,Certified,12.058824,5.693533,23.2,2020-12-21 00:00,22.2,2020-12-25 00:00,20.0,2020-12-16 00:00,16.7,2020-12-24 00:00,,,,,23.2,23.2,23.2,22.2,13.8,11.7,5.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,,2021-10-31
197,06,011,1002,88101,1,39.18919,-121.99887,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,55,90.0,N,55,61,0,3,,,Certified,12.990909,15.883106,96.7,2020-09-12 00:00,59.3,2020-09-30 00:00,41.3,2020-08-25 00:00,37.0,2020-08-31 00:00,,,,,96.7,59.3,41.3,27.0,16.9,7.6,2.8,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,,2021-10-31
203,06,037,1302,88101,1,33.901389,-118.205,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,364,99.0,Y,364,366,0,2,,,Certified,14.747527,10.333314,67.5,2020-07-04 00:00,64.4,2020-09-15 00:00,63.0,2020-07-05 00:00,59.3,2020-09-14 00:00,,,,,59.3,43.2,35.8,27.3,19.4,11.9,5.0,Compton,700 North Bullis Road,California,Los Angeles,Compton,31080,"Los Angeles-Long Beach-Anaheim, CA",2021-10-31
209,06,013,0002,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,88,72.0,N,88,122,0,10,,,Was Certified but data changed,10.671591,15.511152,121.4,2020-09-12 00:00,51.2,2020-08-22 00:00,46.6,2020-09-06 00:00,42.1,2020-09-30 00:00,,,,,121.4,51.2,37.3,24.5,9.8,6.5,2.6,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
216,06,013,0002,88101,3,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,359,98.0,Y,359,366,0,0,,,Certified,11.13649,15.024027,119.8,2020-09-12 00:00,114.4,2020-09-11 00:00,105.9,2020-09-14 00:00,96.3,2020-10-02 00:00,,,,,96.3,66.0,28.7,19.4,10.2,6.8,3.9,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
225,06,031,0004,88101,8,36.102244,-119.56565,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Excluded,337,93.0,Y,341,366,0,0,,,Certified,18.266469,14.994008,106.9,2020-09-14 00:00,83.9,2020-10-03 00:00,80.7,2020-09-15 00:00,80.3,2020-09-13 00:00,,,,,80.3,69.0,44.5,37.4,22.9,13.1,5.2,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,25260,"Hanford-Corcoran, CA",2021-10-31
231,06,031,0004,88101,8,36.102244,-119.56565,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,341,93.0,Y,341,366,0,0,,,Certified,19.349853,18.080865,144.3,2020-08-22 00:00,115.2,2020-08-21 00:00,106.9,2020-09-14 00:00,93.2,2020-08-23 00:00,,,,,93.2,80.7,46.4,38.8,23.7,13.3,5.5,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,25260,"Hanford-Corcoran, CA",2021-10-31
237,06,031,0004,88101,8,36.102244,-119.56565,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,341,93.0,Y,341,366,0,0,,,Certified,19.349853,18.080865,144.3,2020-08-22 00:00,115.2,2020-08-21 00:00,106.9,2020-09-14 00:00,93.2,2020-08-23 00:00,,,,,93.2,80.7,46.4,38.8,23.7,13.3,5.5,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,25260,"Hanford-Corcoran, CA",2021-10-31
243,06,031,0004,88101,1,36.102244,-119.56565,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Excluded,109,90.0,Y,110,122,0,7,,,Requested but denied,18.422936,15.333247,85.7,2020-10-03 00:00,82.6,2020-09-15 00:00,54.5,2020-08-19 00:00,49.9,2020-12-02 00:00,,,,,82.6,54.5,46.1,40.1,24.2,12.2,5.1,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,25260,"Hanford-Corcoran, CA",2021-10-31
249,06,031,0004,88101,1,36.102244,-119.56565,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,110,90.0,Y,110,122,1,7,,,Requested but denied,19.529091,19.171468,140.1,2020-08-22 00:00,85.7,2020-10-03 00:00,82.6,2020-09-15 00:00,54.5,2020-08-19 00:00,,,,,85.7,82.6,47.0,40.9,25.8,12.2,5.4,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,25260,"Hanford-Corcoran, CA",2021-10-31
255,06,031,0004,88101,1,36.102244,-119.56565,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,110,90.0,Y,110,122,1,7,,,Requested but denied,19.529091,19.171468,140.1,2020-08-22 00:00,85.7,2020-10-03 00:00,82.6,2020-09-15 00:00,54.5,2020-08-19 00:00,,,,,85.7,82.6,47.0,40.9,25.8,12.2,5.4,Corcoran-Patterson,1520 PATTERSON AVE.,California,Kings,Corcoran,25260,"Hanford-Corcoran, CA",2021-10-31
263,06,011,0007,88101,1,39.021221,-122.281803,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,103,28.0,N,103,366,0,0,,,Certification not required,26.296117,31.460149,119.0,2020-09-06 00:00,104.9,2020-10-02 00:00,104.3,2020-09-13 00:00,102.5,2020-09-12 00:00,,,,,104.9,104.3,94.2,83.0,43.1,8.8,2.4,Cortina Indian Rancheria,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",California,Colusa,Cortina Indian Rancheria,,,2021-10-31
269,06,073,1022,88101,1,32.789565,-116.944308,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Met One E-SEQ-FRM PM2.5 with VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,338,92.0,Y,338,366,0,28,,,Certified,10.455325,5.560708,38.2,2020-09-14 00:00,35.6,2020-09-15 00:00,35.2,2020-09-13 00:00,32.2,2020-10-05 00:00,,,,,32.2,29.9,21.2,16.6,12.6,9.5,4.4,El Cajon - Lexington Elementary School,533 First Street,California,San Diego,El Cajon,41740,"San Diego-Carlsbad, CA",2021-10-31
275,06,025,1003,88101,1,32.79222,-115.56306,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,123,99.0,Y,121,122,0,9,,,Certified,9.803252,5.143672,28.5,2020-08-10 00:00,24.7,2020-06-11 00:00,23.7,2020-09-15 00:00,22.4,2020-08-18 00:00,,,,,24.7,23.7,19.7,17.6,12.5,9.2,4.7,El Centro-9th Street,"150 9TH ST., EL CENTRO",California,Imperial,El Centro,20940,"El Centro, CA",2021-10-31
281,06,023,1004,88101,1,40.77678,-124.17949,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,106,87.0,N,106,122,0,14,,,Certified,8.754717,6.175638,38.8,2020-09-30 00:00,36.6,2020-12-08 00:00,28.5,2020-09-09 00:00,19.6,2020-12-29 00:00,,,,,36.6,28.5,18.3,14.4,10.6,7.8,2.9,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,21700,"Eureka-Arcata-Fortuna, CA",2021-10-31
288,06,067,0012,88101,3,38.683304,-121.164457,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,23,6.0,N,23,366,0,0,,,Certified,10.878261,4.594558,19.6,2020-12-24 00:00,19.3,2020-12-08 00:00,19.0,2020-12-21 00:00,17.4,2020-12-23 00:00,,,,,19.6,19.6,19.3,19.0,13.5,9.2,6.6,Folsom-Natoma St.,"50 NATOMA STREET, FOLSOM",California,Sacramento,Folsom,40900,"Sacramento--Roseville--Arden-Arcade, CA",2021-10-31
295,06,067,0012,88101,4,38.683304,-121.164457,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,31,8.0,N,31,366,0,0,,,Certified,9.954839,5.082902,21.5,2020-12-21 00:00,19.2,2020-12-20 00:00,18.2,2020-12-24 00:00,17.9,2020-12-08 00:00,,,,,21.5,21.5,19.2,17.9,12.4,10.0,3.0,Folsom-Natoma St.,"50 NATOMA STREET, FOLSOM",California,Sacramento,Folsom,40900,"Sacramento--Roseville--Arden-Arcade, CA",2021-10-31
301,06,071,2002,88101,1,34.10002,-117.49201,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,120,98.0,Y,120,122,0,4,,,Certified,12.78,8.451926,57.6,2020-09-12 00:00,46.1,2020-10-21 00:00,41.9,2020-07-05 00:00,39.7,2020-09-15 00:00,,,,,46.1,41.9,27.4,21.1,16.0,12.0,4.6,Fontana,"14360 ARROW BLVD., FONTANA",California,San Bernardino,Fontana,40140,"Riverside-San Bernardino-Ontario, CA",2021-10-31
307,06,019,5025,88101,1,36.72639,-119.733,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,114,93.0,Y,113,122,0,8,,,Certified,19.053509,19.339575,143.3,2020-08-22 00:00,93.7,2020-09-15 00:00,81.0,2020-10-03 00:00,55.7,2020-09-12 00:00,,,,,93.7,81.0,48.8,37.6,25.5,12.0,5.3,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,23420,"Fresno, CA",2021-10-31
313,06,019,0011,88101,2,36.78538,-119.77321,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),Events Inclucded,28,76.0,N,28,37,28,1,,,Certification not required,17.85,15.461673,74.8,2020-09-12 00:00,41.8,2020-08-31 00:00,33.8,2020-11-23 00:00,32.4,2020-12-05 00:00,,,,,74.8,74.8,41.8,33.8,28.0,13.1,4.1,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2021-10-31
320,06,019,0011,88101,4,36.78538,-119.77321,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,360,98.0,Y,360,366,0,0,,,Certified,18.771667,20.730617,171.8,2020-09-14 00:00,143.2,2020-08-22 00:00,135.8,2020-09-13 00:00,121.9,2020-08-21 00:00,,,,,121.9,89.2,50.7,36.7,23.9,11.5,3.7,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2021-10-31
327,06,019,0011,88101,3,36.78538,-119.77321,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,360,98.0,Y,360,366,0,0,,,Certified,18.326389,20.333516,168.6,2020-09-14 00:00,140.2,2020-08-22 00:00,135.9,2020-09-13 00:00,120.1,2020-08-21 00:00,,,,,120.1,86.5,50.2,36.7,23.2,11.3,4.3,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2021-10-31
333,06,019,0011,88101,1,36.78538,-119.77321,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,317,87.0,N,317,366,0,20,,,Certified,19.621136,20.993763,163.2,2020-09-14 00:00,137.6,2020-08-22 00:00,133.4,2020-09-13 00:00,117.0,2020-08-21 00:00,,,,,117.0,89.5,58.4,39.1,24.7,12.3,4.5,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,23420,"Fresno, CA",2021-10-31
342,06,019,2016,88101,3,36.710833,-119.7775,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Excluded,354,98.0,Y,359,366,0,0,,,Certified,19.038701,17.732702,157.2,2020-09-14 00:00,123.0,2020-09-13 00:00,95.5,2020-09-15 00:00,88.8,2020-10-03 00:00,,,,,88.8,63.9,47.3,39.5,25.7,12.5,4.3,Fresno-Foundry,2482 Foundry Park Ave,California,Fresno,Fresno,23420,"Fresno, CA",2021-10-31
348,06,019,2016,88101,3,36.710833,-119.7775,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Events Inclucded,359,98.0,Y,359,366,0,0,,,Certified,20.323955,20.917476,157.2,2020-09-14 00:00,153.5,2020-08-22 00:00,128.3,2020-08-21 00:00,123.0,2020-09-13 00:00,,,,,123.0,88.8,55.3,42.0,26.7,13.0,4.5,Fresno-Foundry,2482 Foundry Park Ave,California,Fresno,Fresno,23420,"Fresno, CA",2021-10-31
354,06,019,2016,88101,3,36.710833,-119.7775,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),Concurred Events Excluded,359,98.0,Y,359,366,0,0,,,Certified,20.323955,20.917476,157.2,2020-09-14 00:00,153.5,2020-08-22 00:00,128.3,2020-08-21 00:00,123.0,2020-09-13 00:00,,,,,123.0,88.8,55.3,42.0,26.7,13.0,4.5,Fresno-Foundry,2482 Foundry Park Ave,California,Fresno,Fresno,23420,"Fresno, CA",2021-10-31
361,06,085,0002,88101,3,36.999571,-121.574684,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,364,99.0,Y,364,366,0,0,,,Certified,9.925,12.056609,102.5,2020-09-14 00:00,90.0,2020-09-11 00:00,85.7,2020-09-12 00:00,79.7,2020-10-02 00:00,,,,,79.7,49.4,25.2,13.7,10.0,7.3,3.4,Gilroy,9TH & PRINCEVILLE,California,Santa Clara,Gilroy,41940,"San Jose-Sunnyvale-Santa Clara, CA",2021-10-31
368,06,083,2011,88101,1,34.44551,-119.8284,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,359,98.0,Y,359,366,0,0,,,Certified,7.358496,7.37613,61.2,2020-09-14 00:00,52.1,2020-09-15 00:00,50.6,2020-08-21 00:00,46.2,2020-09-13 00:00,,,,,46.2,30.0,17.9,12.5,9.0,6.2,1.5,Goleta,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,42200,"Santa Maria-Santa Barbara, CA",2021-10-31
375,06,057,0005,88101,3,39.233477,-121.055608,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2020,Micrograms/cubic meter (LC),No Events,329,90.0,N,329,366,0,0,,,Certified,12.455015,23.476807,202.2,2020-09-12 00:00,180.8,2020-09-13 00:00,161.6,2020-09-11 00:00,134.2,2020-08-21 00:00,,,,,134.2,90.1,49.8,26.0,8.8,6.2,3.2,Grass Valley-Litton Building,"200 LITTON DR.,  GRASS VALLEY, CA",California,Nevada,Grass Valley,46020,"Truckee-Grass Valley, CA",2021-10-31
381,06,057,0005,88101,1,39.233477,-121.055608,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2020,Micrograms/cubic meter (LC),No Events,48,79.0,N,48,61,0,5,,,Certified,12.625,30.391324,198.3,2020-09-12 00:00,78.3,2020-08-25 00:00,43.8,2020-08-31 00:00,43.4,2020-09-30 00:00,,,,,198.3,198.3,43.8,18.5,7.8,5.3,1.0,Grass Valley-Litton Building,"200 LITTON DR.,  GRASS VALLEY, CA",California,Nevada,Grass Valley,46020,"Truckee-Grass Valley, CA",2021-10-31
390,06,031,1004,88101,3,36.31567,-119.643447,NAD83,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2020,Micrograms/cubic meter (LC),Events Excluded,360,99.0,Y,364,366,0,0,,,Certified,18.804444,16.234544,117.9,2020-09-14 00:00,94.7,2020-10-03 00:00,89.5,2020-10-04 00:00,86.9,2020-09-13 00:00,,,,,86.9,72.6,46.7,39.3,24.6,12.9,4.7,Hanford-Irwin,"807 SOUTH IRWIN ST., HANFORD",California,Kings,Hanford,25260,"Hanford-Corcoran, CA",2021-10-31
