,poc,poc,poc,poc,poc,poc,poc,poc,latitude,latitude,latitude,latitude,latitude,latitude,latitude,latitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,longitude,observation_count,observation_count,observation_count,observation_count,observation_count,observation_count,observation_count,observation_count,observation_percent,observation_percent,observation_percent,observation_percent,observation_percent,observation_percent,observation_percent,observation_percent,arithmetic_mean,arithmetic_mean,arithmetic_mean,arithmetic_mean,arithmetic_mean,arithmetic_mean,arithmetic_mean,arithmetic_mean,first_max_value,first_max_value,first_max_value,first_max_value,first_max_value,first_max_value,first_max_value,first_max_value,first_max_hour,first_max_hour,first_max_hour,first_max_hour,first_max_hour,first_max_hour,first_max_hour,first_max_hour,aqi,aqi,aqi,aqi,aqi,aqi,aqi,aqi
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
state_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,31140.0,2.5209055876685933,1.6822033089721284,1.0,1.0,3.0,3.0,21.0,31140.0,36.23958084277457,2.0296741860462784,32.631242,34.276316,36.694261,37.793624,41.726892,31140.0,-119.97347820179833,1.9493826806755667,-124.17949,-121.784217,-120.382331,-118.200707,-115.48307,31140.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,31140.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,31140.0,8.351387283236994,5.20824403276128,-1.7,4.5,7.3,11.0,24.9,31140.0,8.351387283236994,5.20824403276128,-1.7,4.5,7.3,11.0,24.9,31140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31140.0,33.03959537572254,18.04879023884338,0.0,19.0,30.0,46.0,78.0
36,3763.0,2.461068296571884,1.4229312193625607,1.0,1.0,3.0,4.0,4.0,3763.0,42.101193540526175,1.0237804382052162,40.63307,40.816,42.64225,43.05235,44.39308,3763.0,-75.62843214642574,1.952778169819742,-79.31881,-77.54817,-74.13719,-73.82153,-73.41919,3763.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3763.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,3763.0,5.994339622641509,2.746824053358156,0.0,4.0,5.5,7.7,13.9,3763.0,5.994339622641509,2.746824053358156,0.0,4.0,5.5,7.7,13.9,3763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3763.0,24.979006112144564,11.350621740575424,0.0,17.0,23.0,32.0,55.0
48,11884.0,2.192107034668462,1.3614726014583418,1.0,1.0,2.0,3.0,8.0,11884.0,30.32120586730057,2.1881725174511932,25.892518,29.275381,29.901036,32.664753,35.201592,11884.0,-97.71107027339279,2.8437533972756026,-106.501243,-98.391403,-97.356529,-95.326137,-93.866944,11884.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11884.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,11884.0,7.9442191181420405,3.625913922852193,-1.0,5.3,7.4,10.1,18.6,11884.0,7.9442191181420405,3.625913922852193,-1.0,5.3,7.4,10.1,18.6,11884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11884.0,32.514052507573204,13.802073605748522,0.0,22.0,31.0,42.0,65.0
